County,Total_Population_County,Total_Population_Medicaid,Male_Total_Medicaid,Male_Under_19_Medicaid,Male_Under_19_With_Medicaid,Male_Under_19_No_Medicaid,Male_19_to_64_Medicaid,Male_19_to_64_With_Medicaid,Male_19_to_64_No_Medicaid,Male_65_and_Over_Medicaid,Male_65_and_Over_With_Medicaid,Male_65_and_Over_No_Medicaid,Female_Total_Medicaid,Female_Under_19_Medicaid,Female_Under_19_With_Medicaid,Female_Under_19_No_Medicaid,Female_19_to_64_Medicaid,Female_19_to_64_With_Medicaid,Female_19_to_64_No_Medicaid,Female_65_and_Over_Medicaid,Female_65_and_Over_With_Medicaid,Female_65_and_Over_No_Medicaid,state,county,Year
"Muskogee County, Oklahoma",71412,67380,31384,8825,4573,4252,18431,933,17498,4128,520,3608,35996,9567,4468,5099,20599,2533,18066,5830,1108,4722,40,101,2009
"Oklahoma County, Oklahoma",716704,707029,343923,94085,39079,55006,213582,11517,202065,36256,4901,31355,363106,90018,35892,54126,221858,20197,201661,51230,6851,44379,40,109,2009
"Payne County, Oklahoma",79727,78219,39337,7264,2114,5150,28059,1488,26571,4014,692,3322,38882,7154,2342,4812,26669,2254,24415,5059,446,4613,40,119,2009
"Pottawatomie County, Oklahoma",70274,67554,33498,9510,3734,5776,19891,1567,18324,4097,546,3551,34056,7759,3435,4324,21039,2275,18764,5258,997,4261,40,125,2009
"Rogers County, Oklahoma",85654,83676,40515,11086,1891,9195,24839,1050,23789,4590,611,3979,43161,11176,1935,9241,26593,1495,25098,5392,878,4514,40,131,2009
"Tulsa County, Oklahoma",601961,597066,291956,80327,26871,53456,182433,7708,174725,29196,4348,24848,305110,75972,24531,51441,186861,16346,170515,42277,7011,35266,40,143,2009
"Wagoner County, Oklahoma",70394,70394,35198,9442,2232,7210,22501,1651,20850,3255,717,2538,35196,8658,1692,6966,23048,1361,21687,3490,568,2922,40,145,2009
"Benton County, Oregon",82605,81857,40350,7951,2742,5209,28346,1054,27292,4053,164,3889,41507,7804,2559,5245,28510,1443,27067,5193,519,4674,41,003,2009
"Clackamas County, Oregon",386143,385259,190887,46026,9845,36181,122276,7496,114780,22585,2340,20245,194372,44077,10052,34025,122888,9220,113668,27407,4893,22514,41,005,2009
"Deschutes County, Oregon",158629,157559,77532,17907,5131,12776,48708,2684,46024,10917,1102,9815,80027,18064,5443,12621,50169,4477,45692,11794,1532,10262,41,017,2009
"Douglas County, Oregon",103205,102422,50362,11483,3714,7769,29174,1995,27179,9705,1629,8076,52060,9945,3446,6499,30744,3447,27297,11371,1921,9450,41,019,2009
