"","State","Year","Governor","Senate","House","total_gov"
"X1220","Massachusetts",2012,"D","D","D","D"
"X1320","Massachusetts",2013,"D","D","D","D"
"X1420","Massachusetts",2014,"D","D","D","D"
"X1520","Massachusetts",2015,"R","D","D","Split"
"X1620","Massachusetts",2016,"R","D","D","Split"
"X1720","Massachusetts",2017,"R","D","D","Split"
"X1820","Massachusetts",2018,"R","D","D","Split"
"X1920","Massachusetts",2019,"R","D","D","Split"
"X2020","Massachusetts",2020,"R","D","D","Split"
"X2120","Massachusetts",2021,"R","D","D","Split"
"X2220","Massachusetts",2022,"R","D","D","Split"
"X2320","Massachusetts",2023,"D","D","D","D"
"X2420","Massachusetts",2024,"D","D","D","D"
"X1021","Michigan",2010,"D","R","D","Split"
"X1121","Michigan",2011,"R","R","R","R"
"X1221","Michigan",2012,"R","R","R","R"
"X1321","Michigan",2013,"R","R","R","R"
"X1421","Michigan",2014,"R","R","R","R"
"X1521","Michigan",2015,"R","R","R","R"
"X1621","Michigan",2016,"R","R","R","R"
"X1721","Michigan",2017,"R","R","R","R"
"X1821","Michigan",2018,"R","R","R","R"
"X1921","Michigan",2019,"D","R","R","Split"
"X2021","Michigan",2020,"D","R","R","Split"
"X2121","Michigan",2021,"D","R","R","Split"
"X2221","Michigan",2022,"D","R","R","Split"
"X2321","Michigan",2023,"D","D","D","D"
"X2421","Michigan",2024,"D","D","D","D"
"X2520","Michigan",2025,"D","D","R","Split"
"X1022","Minnesota",2010,"R","D","D","Split"
"X1122","Minnesota",2011,"D","R","R","Split"
"X1222","Minnesota",2012,"D","R","R","Split"
"X1322","Minnesota",2013,"D","D","D","D"
"X1422","Minnesota",2014,"D","D","D","D"
"X1522","Minnesota",2015,"D","D","R","Split"
"X1622","Minnesota",2016,"D","D","R","Split"
"X1722","Minnesota",2017,"D","R","R","Split"
"X1822","Minnesota",2018,"D","R","R","Split"
"X1922","Minnesota",2019,"D","R","D","Split"
"X2022","Minnesota",2020,"D","R","D","Split"
"X2122","Minnesota",2021,"D","R","D","Split"
"X2222","Minnesota",2022,"D","R","D","Split"
"X2322","Minnesota",2023,"D","D","D","D"
"X2422","Minnesota",2024,"D","D","D","D"
"X1023","Mississippi",2010,"R","D","D","Split"
"X1123","Mississippi",2011,"R","R","D","Split"
"X1223","Mississippi",2012,"R","R","R","R"
"X1323","Mississippi",2013,"R","R","R","R"
"X1423","Mississippi",2014,"R","R","R","R"
"X1523","Mississippi",2015,"R","R","R","R"
"X1623","Mississippi",2016,"R","R","R","R"
"X1723","Mississippi",2017,"R","R","R","R"
"X1823","Mississippi",2018,"R","R","R","R"
"X1923","Mississippi",2019,"R","R","R","R"
"X2023","Mississippi",2020,"R","R","R","R"
"X2123","Mississippi",2021,"R","R","R","R"
"X2223","Mississippi",2022,"R","R","R","R"
"X2323","Mississippi",2023,"R","R","R","R"
"X2423","Mississippi",2024,"R","R","R","R"
"X2521","Mississippi",2025,"R","R","R","R"
"X1024","Missouri",2010,"D","R","R","Split"
"X1124","Missouri",2011,"D","R","R","Split"
"X1224","Missouri",2012,"D","R","R","Split"
"X1324","Missouri",2013,"D","R","R","Split"
"X1424","Missouri",2014,"D","R","R","Split"
"X1524","Missouri",2015,"D","R","R","Split"
"X1624","Missouri",2016,"D","R","R","Split"
"X1724","Missouri",2017,"R","R","R","R"
"X1824","Missouri",2018,"R","R","R","R"
"X1924","Missouri",2019,"R","R","R","R"
"X2024","Missouri",2020,"R","R","R","R"
"X2124","Missouri",2021,"R","R","R","R"
"X2224","Missouri",2022,"R","R","R","R"
"X2324","Missouri",2023,"R","R","R","R"
"X2424","Missouri",2024,"R","R","R","R"
"X2522","Missouri",2025,"R","R","R","R"
"X1025","Montana",2010,"D","R","S","Split"
"X1125","Montana",2011,"D","R","R","Split"
"X1225","Montana",2012,"D","R","R","Split"
"X1325","Montana",2013,"D","R","R","Split"
"X1425","Montana",2014,"D","R","R","Split"
"X1525","Montana",2015,"D","R","R","Split"
"X1625","Montana",2016,"D","R","R","Split"
"X1725","Montana",2017,"D","R","R","Split"
"X1825","Montana",2018,"D","R","R","Split"
"X1925","Montana",2019,"D","R","R","Split"
"X2025","Montana",2020,"D","R","R","Split"
"X2125","Montana",2021,"R","R","R","R"
"X2225","Montana",2022,"R","R","R","R"
"X2325","Montana",2023,"R","R","R","R"
"X2425","Montana",2024,"R","R","R","R"
"X2523","Montana",2025,"R","R","R","R"
"X1026","Nevada",2010,"R","D","D","Split"
"X1126","Nevada",2011,"R","D","D","Split"
"X1226","Nevada",2012,"R","D","D","Split"
"X1326","Nevada",2013,"R","D","D","Split"
"X1426","Nevada",2014,"R","D","D","Split"
"X1526","Nevada",2015,"R","R","R","R"
"X1626","Nevada",2016,"R","R","R","R"
"X1726","Nevada",2017,"R","D","D","Split"
"X1826","Nevada",2018,"R","D","D","Split"
"X1926","Nevada",2019,"D","D","D","D"
"X2026","Nevada",2020,"D","D","D","D"
"X2126","Nevada",2021,"D","D","D","D"
"X2226","Nevada",2022,"D","D","D","D"
"X2326","Nevada",2023,"R","D","D","Split"
"X2426","Nevada",2024,"R","D","D","Split"
"X2524","Nevada",2025,"R","D","D","Split"
"X1027","New Hampshire",2010,"D","D","D","D"
"X1127","New Hampshire",2011,"D","R","R","Split"
"X1227","New Hampshire",2012,"D","R","R","Split"
"X1327","New Hampshire",2013,"D","R","D","Split"
"X1427","New Hampshire",2014,"D","R","D","Split"
"X1527","New Hampshire",2015,"D","R","R","Split"
"X1627","New Hampshire",2016,"D","R","R","Split"
"X1727","New Hampshire",2017,"R","R","R","R"
"X1827","New Hampshire",2018,"R","R","R","R"
"X1927","New Hampshire",2019,"R","D","D","Split"
"X2027","New Hampshire",2020,"R","D","D","Split"
"X2127","New Hampshire",2021,"R","R","R","R"
"X2227","New Hampshire",2022,"R","R","R","R"
"X2327","New Hampshire",2023,"R","R","R","R"
"X2427","New Hampshire",2024,"R","R","R","R"
"X2525","New Hampshire",2025,"R","R","R","R"
"X1028","New Jersey",2010,"R","D","D","Split"
"X1128","New Jersey",2011,"R","D","D","Split"
"X1228","New Jersey",2012,"R","D","D","Split"
"X1328","New Jersey",2013,"R","D","D","Split"
"X1428","New Jersey",2014,"R","D","D","Split"
"X1528","New Jersey",2015,"R","D","D","Split"
"X1628","New Jersey",2016,"R","D","D","Split"
"X1728","New Jersey",2017,"R","D","D","Split"
"X1828","New Jersey",2018,"D","D","D","D"
"X1928","New Jersey",2019,"D","D","D","D"
"X2028","New Jersey",2020,"D","D","D","D"
"X2128","New Jersey",2021,"D","D","D","D"
"X2228","New Jersey",2022,"D","D","D","D"
"X2328","New Jersey",2023,"D","D","D","D"
"X2428","New Jersey",2024,"D","D","D","D"
"X2526","New Jersey",2025,"D","D","D","D"
"X1029","New Mexico",2010,"D","D","D","D"
"X1129","New Mexico",2011,"R","D","D","Split"
"X1229","New Mexico",2012,"R","D","D","Split"
"X1329","New Mexico",2013,"R","D","D","Split"
"X1429","New Mexico",2014,"R","D","D","Split"
"X1529","New Mexico",2015,"R","D","R","Split"
"X1629","New Mexico",2016,"R","D","R","Split"
"X1729","New Mexico",2017,"R","D","D","Split"
"X1829","New Mexico",2018,"R","D","D","Split"
"X1929","New Mexico",2019,"D","D","D","D"
"X2029","New Mexico",2020,"D","D","D","D"
"X2129","New Mexico",2021,"D","D","D","D"
"X2229","New Mexico",2022,"D","D","D","D"
"X2329","New Mexico",2023,"D","D","D","D"
"X2429","New Mexico",2024,"D","D","D","D"
"X2527","New Mexico",2025,"D","D","D","D"
"X1030","New York",2010,"D","D","D","D"
"X1130","New York",2011,"D","R","D","Split"
"X1230","New York",2012,"D","R","D","Split"
"X1330","New York",2013,"D","R","D","Split"
"X1430","New York",2014,"D","R","D","Split"
"X1530","New York",2015,"D","R","D","Split"
"X1630","New York",2016,"D","R","D","Split"
"X1730","New York",2017,"D","R","D","Split"
"X1830","New York",2018,"D","R","D","Split"
"X1930","New York",2019,"D","D","D","D"
"X2030","New York",2020,"D","D","D","D"
"X2130","New York",2021,"D","D","D","D"
"X2230","New York",2022,"D","D","D","D"
"X2330","New York",2023,"D","D","D","D"
"X2430","New York",2024,"D","D","D","D"
"X2528","New York",2025,"D","D","D","D"
"X1031","North Carolina",2010,"D","D","D","D"
"X1131","North Carolina",2011,"D","R","R","Split"
"X1231","North Carolina",2012,"D","R","R","Split"
"X1331","North Carolina",2013,"R","R","R","R"
"X1431","North Carolina",2014,"R","R","R","R"
"X1531","North Carolina",2015,"R","R","R","R"
"X1631","North Carolina",2016,"R","R","R","R"
"X1731","North Carolina",2017,"D","R","R","Split"
"X1831","North Carolina",2018,"D","R","R","Split"
"X1931","North Carolina",2019,"D","R","R","Split"
"X2031","North Carolina",2020,"D","R","R","Split"
"X2131","North Carolina",2021,"D","R","R","Split"
"X2231","North Carolina",2022,"D","R","R","Split"
"X2331","North Carolina",2023,"D","R","R","Split"
"X2431","North Carolina",2024,"D","R","R","Split"
"X2529","North Carolina",2025,"D","R","R","Split"
"X1032","North Dakota",2010,"R","R","R","R"
"X1132","North Dakota",2011,"R","R","R","R"
"X1232","North Dakota",2012,"R","R","R","R"
"X1332","North Dakota",2013,"R","R","R","R"
"X1432","North Dakota",2014,"R","R","R","R"
"X1532","North Dakota",2015,"R","R","R","R"
"X1632","North Dakota",2016,"R","R","R","R"
"X1732","North Dakota",2017,"R","R","R","R"
"X1832","North Dakota",2018,"R","R","R","R"
"X1932","North Dakota",2019,"R","R","R","R"
"X2032","North Dakota",2020,"R","R","R","R"
"X2132","North Dakota",2021,"R","R","R","R"
"X2232","North Dakota",2022,"R","R","R","R"
"X2332","North Dakota",2023,"R","R","R","R"
"X2432","North Dakota",2024,"R","R","R","R"
"X2530","North Dakota",2025,"R","R","R","R"
"X1033","Ohio",2010,"D","R","D","Split"
"X1133","Ohio",2011,"R","R","R","R"
"X1233","Ohio",2012,"R","R","R","R"
"X1333","Ohio",2013,"R","R","R","R"
"X1433","Ohio",2014,"R","R","R","R"
"X1533","Ohio",2015,"R","R","R","R"
"X1633","Ohio",2016,"R","R","R","R"
"X1733","Ohio",2017,"R","R","R","R"
"X1833","Ohio",2018,"R","R","R","R"
"X1933","Ohio",2019,"R","R","R","R"
"X2033","Ohio",2020,"R","R","R","R"
"X2133","Ohio",2021,"R","R","R","R"
"X2233","Ohio",2022,"R","R","R","R"
"X2333","Ohio",2023,"R","R","R","R"
"X2433","Ohio",2024,"R","R","R","R"
"X1034","Oklahoma",2010,"D","R","R","Split"
"X1134","Oklahoma",2011,"R","R","R","R"
"X1234","Oklahoma",2012,"R","R","R","R"
"X1334","Oklahoma",2013,"R","R","R","R"
"X1434","Oklahoma",2014,"R","R","R","R"
"X1534","Oklahoma",2015,"R","R","R","R"
"X1634","Oklahoma",2016,"R","R","R","R"
"X1734","Oklahoma",2017,"R","R","R","R"
"X1834","Oklahoma",2018,"R","R","R","R"
"X1934","Oklahoma",2019,"R","R","R","R"
"X2034","Oklahoma",2020,"R","R","R","R"
"X2134","Oklahoma",2021,"R","R","R","R"
"X2234","Oklahoma",2022,"R","R","R","R"
"X2334","Oklahoma",2023,"R","R","R","R"
"X2434","Oklahoma",2024,"R","R","R","R"
"X1035","Oregon",2010,"D","D","D","D"
"X1135","Oregon",2011,"D","D","S","Split"
"X1235","Oregon",2012,"D","D","S","Split"
"X1335","Oregon",2013,"D","D","D","D"
"X1435","Oregon",2014,"D","D","D","D"
"X1535","Oregon",2015,"D","D","D","D"
"X1635","Oregon",2016,"D","D","D","D"
"X1735","Oregon",2017,"D","D","D","D"
"X1835","Oregon",2018,"D","D","D","D"
"X1935","Oregon",2019,"D","D","D","D"
"X2035","Oregon",2020,"D","D","D","D"
"X2135","Oregon",2021,"D","D","D","D"
"X2235","Oregon",2022,"D","D","D","D"
"X2335","Oregon",2023,"D","D","D","D"
"X2435","Oregon",2024,"D","D","D","D"
"X2531","Oregon",2025,"D","D","D","D"
"X1036","Pennsylvania",2010,"D","R","D","Split"
"X1136","Pennsylvania",2011,"R","R","R","R"
"X1236","Pennsylvania",2012,"R","R","R","R"
