state,benefits_total,benefits_federal,benefits_state,administration_total,administration_federal,administration_state,medicaid_total,medicaid_federal,medicaid_state,year
texas,54941.921302,37497.430221,17444.491081,1627.157797,981.898334,645.259463,56569.079099,38479.328555,18089.750544,2022
utah,4211.452614,3304.228571,907.224043,186.0904,123.421079,62.669321,4397.543014,3427.6496500000003,969.893364,2022
vermont,1884.369967,1303.580898,580.789069,164.987533,108.612865,56.374668,2049.3575,1412.193763,637.1637370000001,2022
virginia,17823.746172,12251.93337,5571.812802,438.962143,275.123789,163.838354,18262.708315,12527.057159,5735.651156000001,2022
washington,17140.713645,12133.362252,5007.351393,1072.546047,582.218924,490.327123,18213.259692,12715.581176000002,5497.678516,2022
west virginia,5183.93349,4389.215377,794.718113,208.812018,152.444699,56.367319,5392.745508,4541.660076,851.085432,2022
wisconsin,11429.134969,7981.660831,3447.474138,523.933286,343.408615,180.524671,11953.068255,8325.069446,3627.998809,2022
wyoming,668.371415,409.526064,258.845351,75.33878,53.172342,22.166438,743.710195,462.69840600000003,281.011789,2022
alabama,7829.656078,6078.882733,1750.773345,259.061126,152.693734,106.367392,8088.717204,6231.576467000001,1857.1407370000002,2023
alaska,2530.260279,1974.90934,555.350939,175.717751,104.696211,71.02154,2705.97803,2079.605551,626.372479,2023
arizona,22183.972139,17905.620215,4278.351924,315.550742,196.512218,119.038524,22499.522881,18102.132433,4397.390447999999,2023
arkansas,8605.196491,6954.227689,1650.968802,527.725144,351.539067,176.186077,9132.921635,7305.766756,1827.1548790000002,2023
california,122733.82178231,80517.91046,42215.91132231,7400.190342,4437.891993,2962.298349,130134.01212431,84955.802453,45178.209671309996,2023
colorado,12804.32151,8148.451016,4655.870494,842.68965,484.427453,358.262197,13647.01116,8632.878469,5014.132691,2023
connecticut,10325.691733,6554.563072,3771.128661,412.465459,257.284751,155.180708,10738.157191999999,6811.847823,3926.309369,2023
delaware,3339.783691,2404.154172,935.629519,127.381711,80.746514,46.635197,3467.165402,2484.900686,982.2647159999999,2023
florida,34193.930124,22297.171726,11896.758398,647.679871,399.631188,248.048683,34841.609995,22696.802914,12144.807081,2023
georgia,15936.633577,11356.15153,4580.482047,672.0672,427.080974,244.986226,16608.700777000002,11783.232504,4825.468273,2023
hawaii,2998.266333,2195.23216,803.034173,108.379198,70.167376,38.211822,3106.645531,2265.399536,841.245995,2023
idaho,3539.117454,2829.94984,709.167614,141.418225,91.079036,50.339189,3680.535679,2921.0288760000003,759.506803,2023
illinois,32190.728327,21001.53431,11189.194017,1115.972251,688.441992,427.530259,33306.700578,21689.976302,11616.724275999999,2023
indiana,17278.391501,13035.428854,4242.962647,541.403433,327.129889,214.273544,17819.794933999998,13362.558743,4457.236191,2023
iowa,6776.760824,4921.955114,1854.80571,151.056238,95.170302,55.885936,6927.817062,5017.125416000001,1910.691646,2023
kansas,5193.350486,3368.477481,1824.873005,243.15769,152.984233,90.173457,5436.508176,3521.461714,1915.046462,2023
kentucky,16298.820904,13314.666561,2984.154343,343.250085,222.207748,121.042337,16642.070989,13536.874309,3105.19668,2023
louisiana,16206.573085,12883.122531,3323.450554,422.288065,273.172228,149.115837,16628.86115,13156.294759,3472.566391,2023
maine,4100.961967,2962.507766,1138.454201,185.629146,123.325892,62.303254,4286.591113,3085.833658,1200.757455,2023
maryland,16916.738529,10744.783875,6171.954654,635.266595,403.128518,232.138077,17552.005124,11147.912392999999,6404.092731,2023
