state_name,medicaid_births,pct_medicaid_births,year
maine,"4,569",0.3805597201,2021
maryland,"26,000",0.3807571209,2021
massachusetts,"20,224",0.2925206474,2021
michigan,"39,585",0.3770718232,2021
minnesota,"20,462",0.3176096236,2021
mississippi,"20,721",0.5894015246,2021
missouri,"26,621",0.383295178,2021
montana,"4,200",0.3739649185,2021
nebraska,"8,506",0.3456459019,2021
nevada,"14,908",0.4425577391,2021
new hampshire,"2,890",0.2289108911,2021
new jersey,"29,575",0.2913879228,2021
new mexico,"11,504",0.5377962695,2021
new york,"95,959",0.4553387554,2021
north carolina,"46,852",0.3889230156,2021
north dakota,"2,330",0.2304193038,2021
ohio,"51,657",0.3980014023,2021
oklahoma,"24,701",0.510245817,2021
oregon,"17,303",0.4229114728,2021
pennsylvania,"43,678",0.3293420398,2021
rhode island,"4,631",0.4425649847,2021
south carolina,"26,842",0.4693888257,2021
south dakota,"3,193",0.2808514381,2021
tennessee,"37,328",0.4567960155,2021
texas,"180,705",0.4836935283,2021
utah,"9,870",0.2112947423,2021
vermont,"2,022",0.3755572065,2021
virginia,"30,115",0.3142708062,2021
washington,"27,992",0.3335915434,2021
west virginia,"8,212",0.4774973834,2021
wisconsin,"21,527",0.348440459,2021
wyoming,"1,846",0.2959756293,2021
alabama,26210.0,0.450739,2022
alaska,3569.0,0.381344,2022
arizona,36153.0,0.460272,2022
arkansas,13793.0,0.388853,2022
california,168963.0,0.403153,2022
colorado,22227.0,0.356299,2022
connecticut,13425.0,0.379967,2022
delaware,4533.0,0.419101,2022
district of columbia,3624.0,0.448793,2022
florida,97798.0,0.435756,2022
georgia,57915.0,0.459169,2022
hawaii,5181.0,0.333505,2022
idaho,7099.0,0.317047,2022
illinois,49758.0,0.387674,2022
indiana,32758.0,0.411279,2022
iowa,14141.0,0.387361,2022
kansas,10789.0,0.313625,2022
kentucky,23672.0,0.45249,2022
louisiana,34642.0,0.613361,2022
maine,4462.0,0.368974,2022
maryland,27584.0,0.401035,2022
massachusetts,21318.0,0.310831,2022
michigan,38716.0,0.378378,2022
minnesota,21080.0,0.329298,2022
mississippi,19866.0,0.57292,2022
missouri,26658.0,0.386432,2022
montana,4045.0,0.362228,2022
nebraska,8766.0,0.360074,2022
nevada,14167.0,0.426807,2022
new hampshire,2607.0,0.215865,2022
new jersey,31012.0,0.3014,2022
new mexico,11893.0,0.550245,2022
new york,98396.0,0.473572,2022
north carolina,46609.0,0.383418,2022
north dakota,2102.0,0.219714,2022
ohio,50690.0,0.395302,2022
oklahoma,24580.0,0.508566,2022
oregon,17209.0,0.435748,2022
pennsylvania,44317.0,0.34024,2022
rhode island,4177.0,0.406758,2022
south carolina,27434.0,0.474473,2022
south dakota,3070.0,0.274083,2022
tennessee,36335.0,0.441682,2022
texas,188585.0,0.483873,2022
utah,7918.0,0.173003,2022
vermont,2021.0,0.380173,2022
virginia,32139.0,0.336077,2022
washington,27854.0,0.334249,2022
west virginia,8056.0,0.47587,2022
wisconsin,20449.0,0.340539,2022
wyoming,1787.0,0.295421,2022
alabama,"25,825",0.4464,2023
alaska,"3,230",0.3583,2023
arizona,"36,272",0.4645,2023
arkansas,"14,450",0.4098,2023
california,"161,965",0.4048,2023
colorado,"22,027",0.3582,2023
connecticut,"14,155",0.4096,2023
delaware,"4,498",0.4314,2023
district of columbia,"3,611",0.4573,2023
florida,"93,001",0.42,2023
georgia,"56,224",0.4494,2023
hawaii,"5,085",0.3434,2023
idaho,"6,899",0.308,2023
illinois,"49,327",0.3952,2023
indiana,"32,292",0.4088,2023
iowa,"13,685",0.3796,2023
kansas,"10,659",0.3129,2023
kentucky,"23,029",0.443,2023
louisiana,"34,871",0.635,2023
maine,"4,481",0.3854,2023
maryland,"27,290",0.416,2023
massachusetts,"21,209",0.3161,2023
michigan,"36,841",0.3717,2023
minnesota,"21,210",0.3437,2023
mississippi,"19,493",0.5657,2023
missouri,"26,991",0.4021,2023
montana,"3,853",0.3481,2023
nebraska,"9,092",0.3771,2023
nevada,"13,206",0.4154,2023
new hampshire,"2,462",0.2063,2023
new jersey,"31,309",0.31,2023
new mexico,"11,574",0.5524,2023
new york,"98,769",0.4851,2023
north carolina,"44,873",0.3737,2023
north dakota,"2,214",0.2295,2023
ohio,"49,073",0.3867,2023
oklahoma,"25,139",0.5247,2023
oregon,"17,038",0.4449,2023
pennsylvania,"44,722",0.3523,2023
rhode island,"4,249",0.4334,2023
south carolina,"26,440",0.458,2023
south dakota,"2,919",0.2606,2023
tennessee,"37,939",0.457,2023
texas,"185,348",0.4778,2023
utah,"8,089",0.1797,2023
vermont,"1,857",0.3666,2023
virginia,"32,656",0.3525,2023
washington,"28,297",0.3496,2023
west virginia,"7,681",0.4625,2023
wisconsin,"20,619",0.3451,2023
wyoming,"1,744",0.2912,2023
